       -0.76464E+02    0.35609E+06    0.10000E+07    0.52564E+06    0.10000E+07
       -0.66444E+02    0.69339E+06    0.10000E+07    0.84295E+06    0.10000E+07
       -0.59442E+02    0.10292E+07    0.10000E+07    0.12023E+07    0.10000E+07
       -0.53664E+02    0.13711E+07    0.10000E+07    0.15265E+07    0.10000E+07
       -0.48590E+02    0.16611E+07    0.10000E+07    0.18030E+07    0.10000E+07
       -0.43983E+02    0.19687E+07    0.10000E+07    0.21165E+07    0.10000E+07
       -0.39709E+02    0.22441E+07    0.10000E+07    0.23658E+07    0.10000E+07
       -0.35685E+02    0.24825E+07    0.10000E+07    0.25890E+07    0.10000E+07
       -0.31855E+02    0.26895E+07    0.10000E+07    0.28124E+07    0.10000E+07
       -0.28179E+02    0.29393E+07    0.10000E+07    0.30284E+07    0.10000E+07
       -0.24624E+02    0.31128E+07    0.10000E+07    0.31931E+07    0.10000E+07
       -0.21168E+02    0.32734E+07    0.10000E+07    0.33588E+07    0.10000E+07
       -0.17792E+02    0.34363E+07    0.10000E+07    0.34949E+07    0.10000E+07
       -0.14478E+02    0.35555E+07    0.10000E+07    0.36193E+07    0.10000E+07
       -0.11212E+02    0.36693E+07    0.10000E+07    0.37066E+07    0.10000E+07
       -0.79836E+01    0.37506E+07    0.10000E+07    0.37985E+07    0.10000E+07
       -0.47802E+01    0.38302E+07    0.10000E+07    0.38568E+07    0.10000E+07
       -0.15918E+01    0.38787E+07    0.10000E+07    0.39000E+07    0.10000E+07
        0.15918E+01    0.39106E+07    0.10000E+07    0.39194E+07    0.10000E+07
        0.47802E+01    0.39140E+07    0.10000E+07    0.39087E+07    0.10000E+07
        0.79836E+01    0.39034E+07    0.10000E+07    0.38904E+07    0.10000E+07
        0.11212E+02    0.38638E+07    0.10000E+07    0.38321E+07    0.10000E+07
        0.14478E+02    0.37949E+07    0.10000E+07    0.37577E+07    0.10000E+07
        0.17792E+02    0.37204E+07    0.10000E+07    0.36756E+07    0.10000E+07
        0.21168E+02    0.36275E+07    0.10000E+07    0.35709E+07    0.10000E+07
        0.24624E+02    0.35121E+07    0.10000E+07    0.34386E+07    0.10000E+07
        0.28179E+02    0.33624E+07    0.10000E+07    0.32725E+07    0.10000E+07
        0.31855E+02    0.31838E+07    0.10000E+07    0.31044E+07    0.10000E+07
        0.35685E+02    0.30210E+07    0.10000E+07    0.29309E+07    0.10000E+07
        0.39709E+02    0.28311E+07    0.10000E+07    0.27194E+07    0.10000E+07
        0.43983E+02    0.26022E+07    0.10000E+07    0.24793E+07    0.10000E+07
        0.48590E+02    0.23582E+07    0.10000E+07    0.22344E+07    0.10000E+07
        0.53664E+02    0.21144E+07    0.10000E+07    0.19891E+07    0.10000E+07
        0.59442E+02    0.18429E+07    0.10000E+07    0.16834E+07    0.10000E+07
        0.66444E+02    0.15438E+07    0.10000E+07    0.13889E+07    0.10000E+07
        0.76464E+02    0.12419E+07    0.10000E+07    0.10500E+07    0.10000E+07
